1,Subway,kim_sm@subway.co.kr,E16,428637001,fast food,4
2,Tous les Jours,anthonychung@naver.com,E6-5,423500899,cafe,6
3,Dunkin Donuts,01095552847@hanmail.net,E3-2,423507607,fast food,6
4,DDDN Pizza,dddnpizza@hotmail.com,W2,423504787,fast food,4
5,Lotteria,la12244@lotte.net,N13-1 Chang Young Shin Student Center,428638944,fast food,4
6,Mangosix,none,KI Building(E4) 1F,423500896,cafe,6
7,The Coffee Bean,cbk209@coffeebeankorea.com,International Center(W2-1) 1F,428673751,cafe,6
8,Café Droptop,sintansss@naver.com,Startup Studio (W8) 1F,423500890,cafe,6
9,Café Gran,sr4112.hong@ourhome.co.kr,Student Cafeteria(N11),428610419,cafe,6
10,Handel & Gretel,ciabatta@handelandgretel.com,Mechanical Engineering B/D (N7) 1F,423500851,cafe,6
11,A Twosome Place,lsj07150@hanmail.net,ITC Building(N1) 1F,423500871,cafe,6
12,Pepper’s Restaurant,kdy1175@gmail.com,Student Center-1(W2) 2F,423500875,restaurant,4
13,Pulbit Maru,none,N12 1F,none,fast food,5
14,Smoothie King,none,W1-1 1F,none,cafe,6
15,East Cafeteria,none,E5,423500864,cafeteria,1
16,West Cafeteria,wsk2871@ibfood.co.kr,W2,423502046,cafeteria,1
17,Shinsegae Food (KAIMARU),034176@shinsegae.com,N11,423502060,cafeteria,1
18,TTuk Bae Gi,mjfood8998@hanmail.net,N11,423500891,restaurant,1
19,Hue Gimbap,hotwing@letssystem.com,N11,423500892,restaurant,1
20,Onigiri Gyudong,sos622@daum.net,N11,423500893,restaurant,2
21,MEILU,hao2002@naver.com,N11,423500867,restaurant,3
